,Country,Land Area(Km2),Capital/Major City,Largest city,Calling Code,Official language,Latitude,Longitude
114,Mongolia,1564116.0,Ulaanbaatar,Ulaanbaatar,976.0,Mongolian,46.862496,103.84665600000001
115,Montenegro,13812.0,Podgorica,Podgorica,382.0,Montenegrin language,42.708678000000006,19.37439
116,Morocco,446550.0,Rabat,Casablanca,212.0,Arabic,31.791702,-7.09262
117,Mozambique,799380.0,Maputo,Maputo,258.0,Portuguese,-18.665695,35.529562
118,Myanmar,676578.0,Naypyidaw,Yangon,95.0,Burmese,21.916221,95.955974
119,Namibia,824292.0,Windhoek,Windhoek,264.0,English,-22.957639999999998,18.49041
120,Nauru,21.0,Yaren District,,674.0,English,-0.522778,166.931503
121,Nepal,147181.0,Kathmandu,Kathmandu,977.0,Nepali,28.394857000000002,84.12400799999999
122,Netherlands,41543.0,Amsterdam,Amsterdam,31.0,Dutch,52.132633,5.291266
123,New Zealand,268838.0,Wellington,Auckland,64.0,English,-40.900557,174.88597099999998
124,Nicaragua,130370.0,Managua,Managua,505.0,Spanish,12.865416,-85.207229
125,Niger,1267000.0,Niamey,Niamey,227.0,French,17.607789,8.081666
126,Nigeria,923768.0,Abuja,Lagos,234.0,English,9.081999,8.675277000000001
127,North Korea,120538.0,Pyongyang,Pyongyang,850.0,Korean,40.339852,127.510093
128,North Macedonia,25713.0,Skopje,Skopje,389.0,Macedonian,41.608635,21.745275
129,Norway,323802.0,Oslo,Oslo,47.0,Norwegian,60.472024,8.468946
130,Oman,309500.0,Muscat,Seeb,968.0,Arabic,21.4735329,55.975413
131,Pakistan,796095.0,Islamabad,Karachi,92.0,Urdu,30.375321000000003,69.345116
132,Palau,459.0,Ngerulmud,Koror,680.0,English,7.51498,134.58252
133,Palestinian National Authority,,,,,Arabic,31.952162,35.233154
134,Panama,75420.0,Panama City,Panama City,507.0,Spanish,8.537981,-80.782127
135,Papua New Guinea,462840.0,Port Moresby,Port Moresby,675.0,Tok Pisin,-6.314993,143.95555
136,Paraguay,406752.0,Asunci��,Ciudad del Este,595.0,Spanish,-23.442503,-58.44383199999999
137,Peru,1285216.0,Lima,Lima,51.0,Spanish,-9.189967,-75.015152
138,Philippines,300000.0,Manila,Manila,63.0,English,12.879721,121.77401699999999
139,Poland,312685.0,Warsaw,Warsaw,48.0,Polish,51.919438,19.145135999999997
140,Portugal,92212.0,Lisbon,Lisbon,351.0,Portuguese,39.399871999999995,-8.224454
141,Qatar,11586.0,Doha,Doha,974.0,Arabic,25.354826,51.183884
142,Romania,238391.0,Bucharest,Bucharest,40.0,Romanian,45.943160999999996,24.96676
143,Russia,17098240.0,Moscow,Moscow,7.0,Russian,61.52401,105.31875600000001
144,Rwanda,26338.0,Kigali,Kigali,250.0,Swahili,-1.940278,29.873888
145,Saint Kitts and Nevis,261.0,Basseterre,Basseterre,1.0,English,17.357822,-62.782998
146,Saint Lucia,616.0,Castries,Castries,1.0,English,13.909444,-60.97889300000001
147,Saint Vincent and the Grenadines,389.0,Kingstown,Calliaqua,1.0,English,12.984305,-61.287228000000006
148,Samoa,2831.0,Apia,Apia,685.0,Samoan,-13.759029,-172.10462900000002
149,San Marino,61.0,City of San Marino,City of San Marino,378.0,Italian,43.94236,12.457777
150,S�����������,964.0,S����,S����,239.0,,,
151,Saudi Arabia,2149690.0,Riyadh,Riyadh,966.0,Arabic,23.885942,45.079162
152,Senegal,196722.0,Dakar,Pikine,221.0,French,14.497401000000002,-14.452361999999999
153,Serbia,77474.0,Belgrade,Belgrade,381.0,Serbian,44.016521000000004,21.005859
154,Seychelles,455.0,"Victoria, Seychelles","Victoria, Seychelles",248.0,French,-4.679574,55.491977
