,Country,Land Area(Km2),Capital/Major City,Largest city,Calling Code,Official language,Latitude,Longitude,Population_Density
172,Tanzania,947300.0,Dodoma,Dar es Salaam,255.0,Swahili,-6.369028,34.888822,61.23241106302122
173,Thailand,513120.0,Bangkok,Bangkok,66.0,Thai,15.870032,100.992541,135.69064156532585
174,East Timor,14874.0,Dili,Dili,670.0,Portuguese,-8.874217,125.727539,235.3099368024741
175,Togo,56785.0,Lom�,Lom�,228.0,French,8.619543,0.824782,142.33276393413755
176,Tonga,747.0,Nuku����,Nuku����,676.0,Tongan Language,-21.178986,-175.198242,134.14859437751005
177,Trinidad and Tobago,5128.0,Port of Spain,Chaguanas,1.0,English,10.691803,-61.222503,272.030616224649
178,Tunisia,163610.0,Tunis,Tunis,216.0,Arabic,33.886917,9.537499,71.4792433225353
179,Turkey,783562.0,Ankara,Istanbul,90.0,Turkish,38.963745,35.243322,106.47480990655494
180,Turkmenistan,488100.0,Ashgabat,Ashgabat,993.0,Turkmen,38.969719,59.556278000000006,12.173917230075805
181,Tuvalu,26.0,Funafuti,Singapore,688.0,Tuvaluan Language,-7.109535,177.64933,447.9230769230769
182,Uganda,241038.0,Kampala,Buganda,256.0,Swahili,1.373333,32.290275,183.6623022096101
183,Ukraine,603550.0,Kyiv,Kyiv,380.0,Ukrainian,48.379433,31.16558,73.54014580399304
184,United Arab Emirates,83600.0,Abu Dhabi,Dubai,971.0,Arabic,23.424076,53.847818,116.87235645933015
185,United Kingdom,243610.0,London,London,44.0,English,55.378051,-3.435973,274.3500061573827
186,United States,9833517.0,"Washington, D.C.",New York City,1.0,,37.09024,-95.712891,33.37966701028737
187,Uruguay,176215.0,Montevideo,Montevideo,598.0,Spanish,-32.522779,-55.765835,19.644945095479954
188,Uzbekistan,447400.0,Tashkent,Tashkent,998.0,Uzbek,41.377491,64.585262,75.05733124720608
189,Vanuatu,12189.0,Port Vila,Port Vila,678.0,French,-15.376706,166.959158,24.602674542620395
190,Venezuela,912050.0,Caracas,Caracas,58.0,Spanish,6.42375,-66.58973,31.265642234526617
191,Vietnam,331210.0,Hanoi,Ho Chi Minh City,84.0,Vietnamese,14.058324,108.277199,291.2415265239576
192,Yemen,527968.0,Sanaa,Sanaa,967.0,Arabic,15.552727,48.516388,55.2342604097218
193,Zambia,752618.0,Lusaka,Lusaka,260.0,English,-13.133897,27.849332,23.73186663088047
194,Zimbabwe,390757.0,Harare,Harare,263.0,Shona,-19.015438,29.154857,37.47973292864875
